FID,Shape *,FID_newpon,First_Trea,Area,FID_Total_,OBJECTID,fea_type,mslink,No_bill,Proposed,Notes,FEA_AREA,ShapeSTAre,ShapeSTLen,BUILDINGFO,SOURCE,FootprintT,BuildingUs,BuildingCl,Name,Shape_STAr,Shape_STLe,Shape_Leng,Shape_Area,ImpArea,,Tot Imperv
98,Polygon ZM,0,PD 2348-002,58228826.73,5134,5134,B,4437, , , ,13671.82161,13671.82156,593.613144,0, , , , , ,0,0,0.001992,0,4841.250103,,
99,Polygon ZM,0,PD 2348-002,58228826.73,5150,5150,M,4302, , , ,13603.13322,13603.13324,466.70973,0, , , , , ,0,0,0.001529,0,25494.69342,,
100,Polygon ZM,0,PD 2348-002,58228826.73,5180,5180,S,64507, , , ,13522.6328,13522.63287,3407.524055,0, , , , , ,0,0,0.011717,0,25348.17853,,
101,Polygon ZM,0,PD 2348-002,58228826.73,5208,5208,B,4304, , , ,13437.4063,13437.40625,562.606111,0, , , , , ,0,0,0.001779,0,1516.99196,,
102,Polygon ZM,0,PD 2348-002,58228826.73,5216,5216,P,6035, , , ,13422.39725,13422.39719,742.454951,0, , , , , ,0,0,0.002484,0,25151.17339,,
103,Polygon ZM,0,PD 2348-002,58228826.73,5272,5272,B,3632653, , , ,13261.23817,13261.23828,621.497406,0, , , , , ,0,0,0.002207,0,1359.966848,,
104,Polygon ZM,0,PD 2348-002,58228826.73,5311,5311,M,38557, , , ,13172.05055,13172.05057,459.272113,0, , , , , ,0,0,0.001483,0,24686.55526,,
105,Polygon ZM,0,PD 2348-002,58228826.73,5321,5321,P,37857, , , ,12344.9498,12344.94974,786.58581,0, , , , , ,0,0,0.002704,0,23146.05669,,
106,Polygon ZM,0,PD 2348-002,58228826.73,5440,5440,B,4310, , , ,12841.16538,12841.16534,543.820516,0, , , , , ,0,0,0.001692,0,3312.84388,,
107,Polygon ZM,0,PD 2348-002,58228826.73,5485,5485,P,38535, , , ,12731.01578,12731.0159,861.674391,0, , , , , ,0,0,0.002752,0,23869.02667,,
108,Polygon ZM,0,PD 2348-002,58228826.73,5526,5526,P,38643, , , ,12616.11108,12616.11115,1190.817722,0, , , , , ,0,0,0.003914,0,8635.983441,,
109,Polygon ZM,0,PD 2348-002,58228826.73,5531,5531,B,5982, , , ,12611.41263,12611.41263,522.67276,0, , , , , ,0,0,0.001816,0,1109.629748,,
110,Polygon ZM,0,PD 2348-002,58228826.73,5591,5591,B,3635779, , , ,12434.00397,12434.00406,541.41562,0, , , , , ,0,0,0.001888,0,978.682183,,
111,Polygon ZM,0,PD 2348-002,58228826.73,5645,5645,B,6021, , , ,12296.13752,12296.13751,467.288758,0, , , , , ,0,0,0.001579,0,903.185501,,
112,Polygon ZM,0,PD 2348-002,58228826.73,5676,5676,B,37856, , , ,12193.26385,12193.26386,478.624083,0, , , , , ,0,0,0.001573,0,1354.59356,,
113,Polygon ZM,0,PD 2348-002,58228826.73,5721,5721,P,4411, , , ,12083.47233,12083.47235,666.490202,0, , , , , ,0,0,0.002143,0,22644.97129,,
114,Polygon ZM,0,PD 2348-002,58228826.73,5744,5744,P,4413, , , ,11793.25241,11793.25244,556.511354,0, , , , , ,0,0,0.00178,0,22101.39241,,
115,Polygon ZM,0,PD 2348-002,58228826.73,5764,5764,B,4328, , , ,11982.95259,11982.9527,748.083703,0, , , , , ,0,0,0.002486,0,784.817518,,
116,Polygon ZM,0,PD 2348-002,58228826.73,5771,5771,V,4481, , , ,1861.349076,1861.349182,1502.957798,0, , , , , ,0,0,0.004998,0,2988.487454,,
117,Polygon ZM,0,PD 2348-002,58228826.73,5791,5791,B,5978, , , ,11898.41639,11898.41638,465.921587,0, , , , , ,0,0,0.001541,0,537.528754,,
118,Polygon ZM,0,PD 2348-002,58228826.73,5850,5850,M,38756, , , ,11703.8922,11703.89218,458.21192,0, , , , , ,0,0,0.001555,0,21936.58094,,
119,Polygon ZM,0,PD 2348-002,58228826.73,5860,5860,B,3304, , , ,11690.75071,11690.75073,557.047259,0, , , , , ,0,0,0.001828,0,947.58114,,
120,Polygon ZM,0,PD 2348-002,58228826.73,5864,5864,B,4419, , , ,11680.14272,11680.14285,550.030586,0, , , , , ,0,0,0.001778,0,2575.563589,,
121,Polygon ZM,0,PD 2348-002,58228826.73,5917,5917,S,114245, , , ,11573.44535,11573.44544,4127.039405,0, , , , , ,0,0,0.013811,0,363.675167,,
122,Polygon ZM,0,PD 2348-002,58228826.73,5973,5973,P,38751, , , ,11385.31298,11385.3132,1096.60125,0, , , , , ,0,0,0.003562,0,20833.58587,,
123,Polygon ZM,0,PD 2348-002,58228826.73,6050,6050,S,126260, , , ,6172.853736,6172.85379,3030.919296,0, , , , , ,0,0,0.010164,0,11524.26507,,
124,Polygon ZM,0,PD 2348-002,58228826.73,6098,6098,B,4412, , , ,11110.60909,11110.6091,473.018816,0, , , , , ,0,0,0.001641,0,1003.834112,,
125,Polygon ZM,0,PD 2348-002,58228826.73,6104,6104,B,3286, , , ,11092.10407,11092.10403,501.306298,0, , , , , ,0,0,0.001694,0,928.250398,,
126,Polygon ZM,0,PD 2348-002,58228826.73,6197,6197,B,37858, , , ,10863.05581,10863.05585,475.341994,0, , , , , ,0,0,0.001635,0,834.658613,,
127,Polygon ZM,0,PD 2348-002,58228826.73,6215,6215,B,4391, , , ,10812.10887,10812.10898,571.79669,0, , , , , ,0,0,0.001805,0,1591.49686,,
128,Polygon ZM,0,PD 2348-002,58228826.73,6216,6216,B,4392, , , ,10812.06657,10812.06671,571.797316,0, , , , , ,0,0,0.001836,0,1603.536864,,
129,Polygon ZM,0,PD 2348-002,58228826.73,6284,6284,S,2838336, , , ,10631.08138,10631.08136,1487.728383,0, , , , , ,0,0,0.004769,0,3888.938461,,
130,Polygon ZM,0,PD 2348-002,58228826.73,6334,6334,P,4372, , , ,10510.68699,10510.6868,1808.191236,0, , , , , ,0,0,0.006152,0,19698.58483,,
131,Polygon ZM,0,PD 2348-002,58228826.73,6433,6433,P,2325243, , , ,10332.18061,10332.18057,554.896969,0, , , , , ,0,0,0.001875,0,19371.94115,,
132,Polygon ZM,0,PD 2348-002,58228826.73,6442,6442,B,4274, , , ,10320.63693,10320.63705,512.591967,0, , , , , ,0,0,0.001683,0,876.425141,,
133,Polygon ZM,0,PD 2348-002,58228826.73,6464,6464,P,38750, , , ,9930.02894,9930.028931,891.194709,0, , , , , ,0,0,0.002915,0,811.038668,,
