FID_main__,DN,area,perimeter,FID_Pond_W,Shape_Leng,Shape_Area,Watershed_,Percent_Pe,Percent_Im,Calc_Area,
172128,255,8.999755859,14.4,34,5238.677217,1097977.925,Mad City,43.06,56.94,8.998553087,
172151,255,141.479248,72,34,5238.677217,1097977.925,Mad City,43.06,56.94,141.4573379,
172156,255,80.64038086,54,34,5238.677217,1097977.925,Mad City,43.06,56.94,80.62705699,
172158,255,208.8000488,102,34,5238.677217,1097977.925,Mad City,43.06,56.94,208.7669786,
172159,255,190.0788574,78,34,5238.677217,1097977.925,Mad City,43.06,56.94,190.0494,
172287,255,6.479980469,10.8,34,5238.677217,1097977.925,Mad City,43.06,56.94,6.478979919,
172300,255,707.7590332,147.6,34,5238.677217,1097977.925,Mad City,43.06,56.94,707.6450077,
172366,255,132.8395996,73.2,34,5238.677217,1097977.925,Mad City,43.06,56.94,132.8186767,
172484,255,30.23999023,25.2,34,5238.677217,1097977.925,Mad City,43.06,56.94,30.23518862,
172537,255,8.279541016,12,34,5238.677217,1097977.925,Mad City,43.06,56.94,8.278671186,
172561,255,523.8010254,181.2,34,5238.677217,1097977.925,Mad City,43.06,56.94,523.7170103,
172596,255,10.08032227,16.8,34,5238.677217,1097977.925,Mad City,43.06,56.94,10.07840758,
172626,255,724.6789551,258,34,5238.677217,1097977.925,Mad City,43.06,56.94,724.5635196,
172660,255,1285.200439,366,34,5238.677217,1097977.925,Mad City,43.06,56.94,1284.997253,
172699,255,5.760009766,10.8,34,5238.677217,1097977.925,Mad City,43.06,56.94,5.759092225,
172769,255,10.44018555,14.4,34,5238.677217,1097977.925,Mad City,43.06,56.94,10.43835817,
172847,255,60.12036133,36,34,5238.677217,1097977.925,Mad City,43.06,56.94,60.11048027,
172895,255,11.88037109,16.8,34,5238.677217,1097977.925,Mad City,43.06,56.94,11.87813112,
172964,255,73.07910156,55.2,34,5238.677217,1097977.925,Mad City,43.06,56.94,73.0682334,
173054,255,2.520019531,7.200000001,34,5238.677217,1097977.925,Mad City,43.06,56.94,2.51960032,
173222,255,1.439941406,4.8,34,5238.677217,1097977.925,Mad City,43.06,56.94,1.439766938,
173250,255,24.11987305,24,34,5238.677217,1097977.925,Mad City,43.06,56.94,24.11614263,
173331,255,21.23974609,22.8,34,5238.677217,1097977.925,Mad City,43.06,56.94,21.23660145,
173519,255,14290.91821,2095.2,34,5238.677217,1097977.925,Mad City,43.06,56.94,2712.097466,
174112,255,340.9196777,129.6,34,5238.677217,1097977.925,Mad City,43.06,56.94,340.8658051,
174225,255,15.47998047,18,34,5238.677217,1097977.925,Mad City,43.06,56.94,15.4775373,
174532,255,20.52001953,25.2,34,5238.677217,1097977.925,Mad City,43.06,56.94,20.51672934,
174570,255,23.04003906,22.8,34,5238.677217,1097977.925,Mad City,43.06,56.94,16.49942841,
174628,255,144.7197266,80.4,34,5238.677217,1097977.925,Mad City,43.06,56.94,144.6968974,
174841,255,311.7609863,115.2,34,5238.677217,1097977.925,Mad City,43.06,56.94,311.7101536,
174958,255,117.3605957,70.8,34,5238.677217,1097977.925,Mad City,43.06,56.94,117.3412648,
168357,255,14483901.23,1882215.6,34,5238.677217,1097977.925,Mad City,43.06,56.94,45992.6422,
187155,255,1683643.25,170736,34,5238.677217,1097977.925,Mad City,43.06,56.94,89380.79877,
154540,255,12.24047852,16.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,12.23776622,1061694.688
154548,255,132.8400879,56.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,132.8155909,
154559,255,76.32055664,57.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,76.30617167,
154595,255,6.120117188,10.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,6.118889031,
154610,255,37.80004883,28.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,37.79304829,
154634,255,644.7590332,219.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,644.6426131,
154662,255,1.439941406,4.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,1.439735918,
154686,255,30.24047852,27.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,30.23454629,
154695,255,49.68066406,36,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,49.67125878,
154698,255,7.560058594,12,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,7.558619034,
154761,255,57.23950195,38.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,57.22947891,
154797,255,73.08007813,50.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,73.06682705,
154808,255,68.76025391,40.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,68.74743531,
154814,255,14.3996582,18,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,14.39743197,
154854,255,93.60009766,49.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,93.58288784,
154884,255,124.1994629,58.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,124.1778784,
154899,255,46.80004883,39.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,46.79198406,
154911,255,19.79956055,20.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,19.79664733,
154981,255,70.55981445,43.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,70.54729124,
155018,255,99.36083984,52.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,99.34172572,
155041,255,32.75976563,27.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,32.75409179,
155108,255,231.8398438,92.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,231.7987802,
155131,255,220.3210449,114,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,220.2797261,
155208,255,102.9594727,50.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,102.9412781,
155224,255,300.2392578,111.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,188.8346948,
155397,255,49.31982422,45.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,49.3111041,
155402,255,26.63964844,25.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,26.63517665,
155409,255,13.32006836,16.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,13.3177107,
155424,255,11.16015625,15.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,11.15797313,
